number,name,member,url,lank,note
HS11_01,君はハニーデュー,選抜曲,https://youtu.be/RdfLsGLxLOQ,,short
HS11_02,錆つかない剣を持て！,ひなた坂楽曲,https://youtu.be/KIXbodi1boM,,
HS11_03,どこまでが道なんだ？,金村美玖、高橋未来虹、山口陽世、平岡海月,https://youtu.be/J8XMzteLomo,,
HS11_04,恋とあんバター,河田陽菜、森本茉莉、平尾帆夏、藤嶌果歩,https://youtu.be/svON5LF1GzU,,
HS11_05,夜明けのスピード,小坂菜緒、上村ひなの、正源司陽子、山下葉留花,https://youtu.be/MK0oVV5Zj7U,,
HS11_06,雨が降ったって,4期生楽曲,https://youtu.be/Vf43sY-bcXo,,
HS11_07,僕に続け,全体曲,https://youtu.be/aH1CKIQomMY,,
HA02_01,君は0から1になれ,リード曲,https://youtu.be/aDEEYxQwF98,,
HA02_02,最初の白夜,1期生,https://youtu.be/wqTuqq_4qRA,,
HA02_03,自販機と主体性,2期生,https://youtu.be/wzUfi2P2iaM,,
HA02_04,青春ポップコーン,3期生,none,6,
HA02_05,ロッククライミング,4期生,none,,
HS10_01,Am I ready?,全体曲,https://youtu.be/p2TrDDEUUfM,,
HS10_02,見たことない魔物,4期生楽曲,https://youtu.be/H9mLV4mDkI4,,
HS10_03,接触と感情,1～3期生,none,,
HS10_04,骨組みだらけの夏休み,1期生楽曲,none,,
HS10_05,君は逆立ちできるか?,2期生楽曲,none,,
HS10_06,愛のひきこもり,3期生楽曲,https://youtu.be/Tt6iMaIBEUM,,
HS10_07,ガラス窓が汚れてる,全体曲,https://youtu.be/GYWV57JBwkM,,
HS09_01,One choice,全体曲,https://youtu.be/YlHD4FlIYpo,,
HS09_02,恋は逃げ足が早い,全体曲,https://youtu.be/NHAE3z0hdtg,,
HS09_03,愛はこっちのものだ,1期生楽曲,none,,
HS09_04,You're in my way,2期生楽曲,none,,
HS09_05,パクチー ピーマン グリーンピース,3期生楽曲,https://youtu.be/WiCh_RMVRTc,,
HS09_06,シーラカンス,4期生楽曲,https://youtu.be/NTmBDsQuUh8,,
HS09_07,友よ 一番星だ,全体曲,none,,
HS08_01,月と星が踊るMidnight,全体曲,https://youtu.be/l0IouAYUJJY,,
HS08_02,HEY! OHISAMA!,全体曲,none,,
HS08_03,孤独な瞬間,齊藤京子,https://youtu.be/5mW5FWUoB-Q,,
HS08_04,10秒天使,パン工場,https://youtu.be/_Oz0U3VSp3w,,
HS08_05,その他大勢タイプ,影山優佳、金村美玖、富田鈴花、上村ひなの,https://youtu.be/u5IuYIHXjFQ,,
HS08_06,ブルーベリー&ラズベリー,4期生楽曲,https://youtu.be/j37qeRhadOI,,
HS08_07,一生一度の夏,全体曲,none,3,
HS07_01,僕なんか,全体曲,https://youtu.be/oO2ZyxYaHvg,,
HS07_02,飛行機雲ができる理由,全体曲,https://youtu.be/h2tD7eswTxY,,
HS07_03,もうこんなに好きになれない,2002年組,https://youtu.be/HQXzVYMqgTQ,,
HS07_04,ゴーフルと君,3期生楽曲,https://youtu.be/lSDgiu1p0Es,,
HS07_05,真夜中の懺悔大会,1期生楽曲,none,9,
HS07_06,恋した魚は空を飛ぶ,2期生楽曲,none,2,
HS07_07,知らないうちに愛されていた,全体曲,https://youtu.be/87RDNbpF7_0,,
HS06_01,ってか,全体曲,none,,Presso様
HS06_02,何度でも何度でも,全体曲,https://youtu.be/7WT4_K7wBWI,,
HS06_03,思いがけないダブルレインボー,全体曲,https://youtu.be/klFaRSpRX4w,,
HS06_04,夢は何歳まで?,あゃめぃちゃん,none,11,
HS06_05,あくびLetter,カラーチャート,none,7,
HS06_06,酸っぱい自己嫌悪,みーぱんファミリー,https://youtu.be/dkfowtPeWus,,
HS06_07,アディショナルタイム,全体曲,https://youtu.be/Sjb8M2RsS_0,,
HS05_01,君しか勝たん,全体曲,https://youtu.be/Rbfjx48dcis,10,楽譜なし、short
HS05_02,声の足跡,全体曲,https://youtu.be/zJb9I6lyHD8,,楽譜なし、short
HS05_03,嘆きのDelete,加藤史帆,none,14,
HS05_04,Right?,3期生楽曲,https://youtu.be/ru8v5B2AZlQ,,
HS05_05,どうする?どうする?どうする?,1期生楽曲,none,12,
HS05_06,世界にはThank you!が溢れている,2期生楽曲,none,,
HS05_07,膨大な夢に押し潰されて,全体曲,none,15,
HA01_01,アザトカワイイ,全体曲,none,,
HA01_02,この夏をジャムにしよう,3期生楽曲,none,4,
HA01_03,日向坂,全体曲,none,,
HA01_04,ただがむしゃらに,全体曲,none,,
HA01_05,どうして雨だと言ったんだろう?,きずなーず,none,5,
HA01_06,My fans,全体曲,none,,
HA01_07,See Through,なおみく,none,,
HA01_08,overture,,none,,
HS04_01,ソンナコトナイヨ,全体曲,none,,Presso様
HS04_02,青春の馬,全体曲,none,,Presso様
HS04_03,好きということは…,1期生楽曲,none,,
HS04_04,窓を開けなくても,dasada7,none,,
HS04_05,ナゼー,FACTORY,https://youtu.be/pMYlGd1f80g,,
HS04_06,君のため何ができるだろう,2・3期生楽曲,https://youtu.be/U1JT48Qjzlc,,
HS03_01,こんなに好きになっちゃっていいの?,全体曲,none,,Presso様
HS03_02,ホントの時間,全体曲,none,,
HS03_03,まさか 偶然…,花ちゃんズ,https://youtu.be/l4C5v3YaxrE,10,楽譜なし、short
HS03_04,一番好きだとみんなに言っていた 小説のタイトルを思い出せない,上村ひなの,none,5,
HS03_05,ママのドレス,りまちゃんちっく,none,,
HS03_06,川は流れる,全体曲,none,,
HS02_01,ドレミソラシド,全体曲,none,,Presso様
HS02_02,キツネ,全体曲,none,,Presso様
HS02_03,My god,1期生楽曲,https://youtu.be/jRpjejNeL78,,
